pm2_5,month,weekday,hour,wind-east,wind-north,temperature,pressure,humidity,target
15.11,1,1,16,0.572427,-2.944882,0.7,990.2,70,13.85
16.09,1,1,17,0.104698,-2.998172,0.4,989.7,80,31.69
17.23,1,1,18,0.278346,-1.980536,-0.4,989.4,92,32.26
18.42,1,1,19,0.776457,-2.897777,-0.4,989.3,93,32.53
18.09,1,1,20,-0.209057,-1.989044,-0.2,989.2,90,30.31
18.47,1,1,21,0.674853,-2.92311,-0.2,988.9,91,24.83
13.85,1,1,22,0.139513,-1.995128,-0.2,988.7,91,14.96
31.69,1,1,23,0.069799,-1.998782,-0.4,988.4,94,11.88
32.26,1,2,0,-0.104672,-1.997259,-0.5,988.2,96,11.66
32.53,1,2,1,-1.231323,-1.576022,-0.3,988.3,97,13.52
30.31,1,2,2,-2.800741,-1.075104,0.1,988.5,97,14.56
24.83,1,2,3,-4.98782,-0.348782,0.2,988.8,97,16.83
14.96,1,2,4,-6.990407,0.366352,-0.3,989.3,93,20.85
11.88,1,2,5,-6.931876,0.974212,-0.8,990.0,90,18.98
11.66,1,2,6,-3.984779,-0.348623,-1.3,991.0,90,17.14
13.52,1,2,7,-3.950753,0.625738,-1.4,991.5,88,19.37
14.56,1,2,8,-2.977638,-0.365608,-1.3,992.1,91,21.45
16.83,1,2,9,-2.910887,-0.725766,-1.0,992.5,94,24.88
20.85,1,2,10,-4.999238,0.087262,-0.3,992.6,92,26.73
18.98,1,2,11,-4.938442,0.782172,-0.3,992.8,89,25.95
17.14,1,2,12,-3.961072,-0.556692,0.0,992.5,90,27.27
19.37,1,2,13,-2.92311,-0.674853,-0.1,992.5,90,26.77
21.45,1,2,14,-3.950753,-0.625738,0.1,992.6,92,26.76
24.88,1,2,15,-3.91259,-0.831647,0.1,992.6,93,29.08
26.73,1,2,16,-2.910887,-0.725766,0.0,992.6,94,36.54
25.95,1,2,17,-2.977638,-0.365608,0.0,992.4,96,38.03
27.27,1,2,18,-2.910887,-0.725766,0.1,992.3,94,33.97
26.77,1,2,19,-1.797588,-0.876742,0.1,992.2,94,31.93
26.76,1,2,20,-0.819152,-0.573576,0.0,991.9,94,32.26
29.08,1,2,21,-0.707107,-0.707107,-0.2,991.6,95,32.87
36.54,1,2,22,-0.34202,-0.939693,-0.4,991.2,95,35.76
38.03,1,2,23,1.975377,-0.312869,-1.4,990.9,96,33.26
33.97,1,3,0,0.891007,-0.45399,-1.3,990.5,97,29.64
31.93,1,3,1,0.829038,-0.559193,-1.2,990.6,97,28.85
32.26,1,3,2,0.731354,-0.681998,-1.1,990.7,97,30.58
32.87,1,3,3,0.0,0.0,-1.3,990.9,98,27.59
35.76,1,3,4,-0.898794,0.438371,-1.2,991.2,98,25.22
33.26,1,3,5,0.651136,1.891037,-0.7,991.4,97,26.03
29.64,1,3,6,0.469303,2.963065,-0.3,992.0,93,32.78
28.85,1,3,7,-0.483844,1.940591,-1.9,992.6,90,21.09
30.58,1,3,8,-1.545114,2.571502,-1.3,993.3,92,31.25
27.59,1,3,9,-0.695866,4.95134,-1.2,994.4,94,21.24
25.22,1,3,10,-2.347358,4.414738,-0.9,994.9,92,17.98
26.03,1,3,11,-3.009075,3.993178,-0.6,995.1,90,17.52
32.78,1,3,12,0.209344,3.994518,-0.8,995.7,87,15.47
21.09,1,3,13,-0.954045,4.908136,-1.5,996.4,84,15.07
31.25,1,3,14,-0.174497,4.996954,-2.0,997.3,88,13.64
21.24,1,3,15,-1.294095,4.829629,-2.1,997.9,86,15.56
17.98,1,3,16,-1.663294,7.825181,-2.7,998.6,80,16.71
17.52,1,3,17,-3.5,6.062178,-2.9,999.1,85,15.69
15.47,1,3,18,-3.775922,4.662876,-3.8,999.7,83,11.93
15.07,1,3,19,-4.949747,4.949747,-4.0,1000.0,81,13.56
13.64,1,3,20,-3.473292,3.596699,-4.1,1000.5,80,13.49
15.56,1,3,21,-3.535534,3.535534,-4.2,1000.6,83,14.18
16.71,1,3,22,-2.113091,4.531539,-4.1,1001.0,80,13.08
15.69,1,3,23,-1.349706,5.84622,-4.4,1001.3,81,13.79
11.93,1,4,0,-0.938607,5.92613,-5.3,1002.0,79,15.18
13.56,1,4,1,0.763236,3.926509,-6.9,1002.7,77,16.46
13.49,1,4,2,-0.417519,2.970804,-8.1,1003.0,81,17.33
14.18,1,4,3,-3.152043,2.462646,-7.9,1003.5,84,20.52
13.08,1,4,4,-2.954423,-0.520945,-8.0,1003.5,85,26.21
13.79,1,4,5,-2.983566,0.313585,-8.0,1003.7,86,30.51
15.18,1,4,6,-2.999543,0.052357,-7.8,1003.7,86,27.95
16.46,1,4,7,-3.961072,0.556692,-7.6,1004.4,87,24.95
17.33,1,4,8,-2.977638,-0.365608,-7.1,1004.4,84,27.92
20.52,1,4,9,-3.939231,-0.694593,-6.3,1004.5,81,32.02
26.21,1,4,10,-4.806308,-1.378187,-5.7,1004.3,78,23.93
30.51,1,4,11,-4.908136,-0.954045,-4.7,1003.6,69,19.24
27.95,1,4,12,-4.890738,-1.039558,-4.5,1003.2,72,15.33
24.95,1,4,13,-5.955277,-0.731216,-4.6,1002.8,83,12.13
27.92,1,4,14,-3.990256,0.279026,-4.6,1002.7,91,14.65
32.02,1,4,15,-4.30963,5.516075,-4.3,1003.1,86,18.74
23.93,1,4,16,-2.052121,5.638156,-5.0,1003.8,75,25.77
19.24,1,4,17,-1.953656,4.602524,-6.5,1004.5,77,30.58
15.33,1,4,18,0.26168,4.993148,-6.9,1005.1,78,29.76
12.13,1,4,19,-1.408415,2.648843,-9.7,1005.7,78,28.48
14.65,1,4,20,-1.846984,2.364032,-9.7,1006.0,79,37.03
18.74,1,4,21,-2.988584,0.261467,-9.9,1006.2,84,30.76
25.77,1,4,22,-2.998172,-0.104698,-10.7,1006.3,90,26.26
30.58,1,4,23,-3.564026,1.815962,-10.4,1006.4,88,29.32
29.76,1,5,0,-1.891037,0.651136,-11.4,1005.9,89,29.65
28.48,1,5,1,-1.995128,0.139513,-11.1,1005.9,91,22.58
37.03,1,5,2,-0.891007,0.45399,-11.8,1005.6,94,23.3
30.76,1,5,3,-1.765895,0.938943,-9.3,1005.4,90,28.0
26.26,1,5,4,-1.597271,1.20363,-9.3,1005.2,90,28.35
29.32,1,5,5,-1.02606,2.819078,-9.5,1005.3,92,27.81
29.65,1,5,6,-1.545114,2.571502,-9.9,1005.2,90,28.03
22.58,1,5,7,-0.999848,0.017452,-9.2,1004.9,89,18.89
23.3,1,5,8,-1.797588,-0.876742,-8.2,1004.3,88,20.52
28.0,1,5,9,-1.985092,-0.243739,-6.5,1003.8,86,16.94
